distancia,velocidade_relativa,permissao,pista,visibilidade,target
495.85,164.0,0.55,0.7,0.46,0
246.63,85.91,0.56,0.28,0.99,0
313.87,167.71,0.84,0.05,0.1,0
272.95,228.5,0.48,0.25,0.31,0
121.74,243.65,0.23,0.39,0.67,0
336.43,237.14,0.75,0.18,0.11,0
138.57,58.66,0.43,0.8,0.29,0
163.55,75.68,0.45,0.97,0.31,0
80.02,7.23,0.46,0.18,0.11,0
264.74,45.45,0.2,0.77,0.79,0
106.95,163.5,0.39,0.85,0.37,0
13.26,233.01,0.73,0.18,0.74,0
222.33,59.06,0.87,0.18,0.69,0
447.48,172.2,0.31,0.79,0.6,0
49.55,37.48,0.29,0.03,0.66,0
173.1,35.23,0.95,0.16,0.27,0
189.05,183.04,0.74,0.8,0.58,1
187.6,176.98,0.45,0.65,0.05,0
183.6,151.59,0.46,0.35,0.45,0
94.54,151.93,0.95,0.09,0.35,0
199.05,193.3,0.63,0.98,0.95,1
261.58,160.57,0.91,0.76,0.34,0
282.83,196.65,0.54,0.68,0.35,0
386.88,218.23,0.11,0.76,0.54,0
482.82,64.58,0.9,0.57,0.5,0
368.76,93.9,0.42,0.65,0.51,0
404.68,177.61,0.56,0.36,0.34,0
314.75,149.16,0.58,0.12,0.52,0
477.16,197.73,0.02,0.39,0.89,0
344.49,171.63,0.18,0.65,0.51,0
2.83,187.41,0.63,0.56,0.7,0
255.8,52.38,0.51,0.35,0.5,0
34.95,71.62,0.92,0.27,0.4,0
177.71,97.21,0.39,0.65,0.92,0
497.1,78.82,0.56,0.44,0.64,0
26.55,19.14,0.67,0.86,0.6,0
208.14,65.07,0.64,0.1,0.9,0
96.58,101.36,0.89,0.13,0.26,0
262.46,2.4,0.14,0.56,0.51,0
277.25,170.67,0.31,0.08,0.04,0
173.76,44.53,0.13,0.35,0.1,0
241.72,116.42,0.8,0.25,0.57,0
87.7,58.31,0.49,0.79,0.33,0
54.39,177.03,0.02,0.43,0.83,0
243.64,20.37,0.47,0.04,0.46,0
228.2,219.1,0.97,0.72,0.38,0
333.02,68.35,0.88,0.3,0.03,0
72.98,108.69,0.51,0.02,0.39,0
294.37,27.8,0.54,0.87,0.58,0
483.89,241.42,0.56,0.73,0.42,0
211.13,188.32,0.34,0.49,0.31,0
447.88,17.62,0.09,0.69,0.36,0
352.42,27.5,0.47,0.14,0.99,0
81.63,3.83,0.72,0.04,0.25,0
147.63,69.24,0.78,1.0,0.83,0
212.53,144.73,0.62,0.74,0.54,1
27.15,60.81,0.14,0.05,0.16,0
227.42,235.14,0.57,0.38,0.88,0
338.37,126.38,0.73,0.1,0.89,0
125.41,244.65,0.1,0.34,0.35,0
67.78,79.07,0.57,0.01,0.39,0
191.74,163.32,0.36,0.52,0.37,0
419.93,236.41,0.37,0.22,0.81,0
377.88,133.61,0.71,0.86,0.52,1
62.06,238.79,0.93,0.7,0.44,0
228.09,79.94,0.3,0.87,0.0,0
190.8,50.83,0.02,0.76,0.38,0
23.54,172.58,0.28,0.23,0.98,0
108.34,66.78,0.41,0.73,0.11,0
216.94,210.71,0.37,0.68,0.97,0
473.77,198.17,0.86,0.44,0.8,0
222.7,152.95,0.61,0.59,0.71,1
378.07,46.0,0.75,0.59,0.48,0
33.39,129.9,0.47,0.37,0.24,0
77.36,194.57,0.06,0.5,0.27,0
24.98,1.6,0.77,0.77,0.78,0
440.13,172.76,0.29,0.44,0.82,0
119.2,50.81,0.85,0.33,0.29,0
493.56,237.08,0.17,0.04,0.15,0
141.23,130.76,0.28,0.05,0.58,0
456.3,228.45,0.8,0.86,0.58,1
486.99,233.99,0.45,0.04,0.39,0
325.8,103.74,0.2,0.91,0.05,0
263.22,24.49,0.26,0.04,0.76,0
281.68,222.9,0.21,0.82,0.78,0
389.16,15.06,0.68,0.81,0.14,0
202.21,172.42,0.76,0.85,0.92,1
45.38,7.83,0.87,0.81,0.59,0
324.83,189.0,0.53,0.86,0.57,1
205.82,61.34,0.59,0.58,0.23,0
101.49,60.41,0.76,0.1,0.79,0
479.93,105.47,0.92,0.08,0.04,0
374.06,86.31,0.32,0.62,0.33,0
334.46,225.98,0.13,0.3,0.62,0
292.84,77.42,0.47,0.11,0.47,0
117.67,184.61,0.85,0.84,0.5,0
465.25,155.15,0.04,0.08,0.28,0
113.31,157.32,0.5,0.39,0.93,0
172.25,235.59,0.62,0.77,0.9,1
252.47,229.06,0.24,0.26,0.41,0
97.92,235.98,0.05,0.01,0.35,0
188.35,148.25,0.17,0.62,0.04,0
352.63,238.28,0.11,0.84,0.14,0
264.99,81.63,0.43,0.49,0.79,0
189.26,18.2,0.89,0.05,0.08,0
76.21,76.94,0.73,0.78,0.4,0
398.17,85.19,0.79,0.31,0.04,0
224.17,138.99,0.51,0.17,0.12,0
171.12,99.69,0.22,0.08,0.88,0
50.73,247.74,0.4,0.3,0.24,0
139.45,15.06,0.06,0.35,0.47,0
117.64,218.4,0.49,0.86,0.48,0
430.56,42.58,0.25,0.86,0.43,0
359.59,97.7,0.41,0.29,0.31,0
454.69,67.25,0.67,0.09,0.4,0
99.24,108.38,0.38,0.02,0.03,0
72.07,105.27,0.29,0.12,0.02,0
384.74,226.41,0.92,0.94,0.13,0
139.46,32.12,0.76,0.7,0.58,0
428.43,134.6,0.28,0.5,0.51,0
313.91,135.08,0.67,0.09,0.41,0
23.69,183.53,0.35,0.34,0.91,0
468.95,100.28,0.6,0.43,0.98,0
79.82,180.33,0.7,0.04,0.23,0
178.95,132.15,0.18,0.66,0.66,0
255.59,138.31,0.07,0.63,0.94,0
396.69,115.28,0.48,0.16,0.45,0
318.97,167.12,0.07,0.2,0.4,0
237.3,4.48,0.31,0.37,0.4,0
477.92,79.87,0.9,0.59,0.95,0
474.75,243.61,0.79,0.34,0.34,0
40.61,119.42,0.53,0.85,0.96,0
122.25,99.33,0.54,0.47,0.04,0
200.43,233.69,0.65,0.59,0.45,0
91.67,189.83,0.52,0.86,0.33,0
315.43,39.43,0.37,0.26,0.01,0
237.23,73.89,0.91,0.58,0.04,0
116.4,136.01,0.97,0.33,0.66,0
142.08,136.0,0.5,0.39,0.37,0
161.95,176.77,0.33,0.3,0.59,0
212.76,187.96,0.55,0.56,0.79,1
154.23,126.35,0.48,0.52,0.77,0
387.88,8.12,0.78,0.99,0.49,0
105.38,182.49,0.38,0.45,0.7,0
348.72,57.87,0.92,0.88,0.74,0
159.84,107.89,0.42,0.18,0.3,0
369.05,191.42,0.12,0.17,0.15,0
88.15,79.22,0.24,0.03,0.92,0
304.72,11.96,0.56,0.57,0.94,0
360.66,32.09,0.61,0.58,0.11,0
157.93,107.15,0.1,0.7,0.53,0
300.3,135.3,0.44,0.93,0.84,0
65.67,187.84,0.36,0.06,0.5,0
248.83,107.57,0.56,0.55,0.02,0
36.85,72.22,0.5,0.35,0.24,0
31.2,204.72,0.93,0.98,0.15,0
88.6,150.64,0.86,0.68,0.34,0
306.89,18.85,0.03,0.86,0.2,0
333.54,60.86,0.26,0.42,0.56,0
463.59,217.15,0.21,0.76,0.44,0
194.31,48.55,0.43,0.54,0.87,0
93.1,134.28,0.92,0.37,0.13,0
425.73,215.07,0.68,0.09,0.16,0
85.01,188.14,0.42,0.64,0.52,0
79.07,163.05,0.28,0.14,0.76,0
20.52,156.8,0.08,0.23,0.61,0
240.38,186.27,0.4,0.39,0.17,0
35.13,23.14,0.96,0.76,0.37,0
141.89,161.28,0.63,0.44,0.43,0
451.12,169.97,0.14,0.23,0.76,0
54.56,151.75,0.44,0.85,0.27,0
322.68,11.1,0.78,0.04,0.81,0
281.64,173.14,0.91,0.76,0.55,1
403.12,157.29,0.49,0.1,0.09,0
106.52,240.22,0.45,0.93,0.12,0
351.02,169.71,0.74,0.03,0.27,0
480.03,142.13,0.79,0.13,0.93,0
260.25,237.04,0.71,0.62,0.0,0
463.09,34.25,0.19,0.39,0.86,0
293.66,56.69,0.53,0.17,0.18,0
457.83,7.43,0.57,0.39,0.45,0
9.95,187.44,0.53,0.81,0.07,0
374.68,235.12,0.54,0.13,0.68,0
408.1,105.0,0.94,0.43,0.7,0
211.46,29.35,0.74,0.53,0.29,0
373.97,234.15,0.56,0.74,0.49,0
79.84,147.92,0.61,0.72,0.86,0
360.87,18.22,0.78,0.79,0.32,0
306.68,40.4,0.53,0.58,0.61,0
299.92,195.26,0.39,0.05,0.91,0
206.51,249.69,0.9,0.74,0.98,1
23.42,120.76,0.16,0.4,0.66,0
261.3,38.66,0.24,0.74,0.58,0
360.78,7.64,0.46,0.52,0.17,0
317.63,56.25,0.97,0.15,0.31,0
81.75,72.92,0.55,0.45,0.27,0
253.24,62.05,0.99,0.45,0.22,0
203.03,194.71,0.75,0.28,0.58,0
487.28,220.7,0.31,0.24,0.8,0
213.89,238.92,0.05,0.77,0.97,0
257.77,32.88,0.8,0.19,0.44,0
422.94,89.06,0.22,0.88,0.3,0
67.44,16.38,0.47,0.54,0.84,0
378.75,40.93,0.69,0.55,0.89,0
473.86,63.16,0.31,0.98,0.43,0
420.24,143.88,0.8,0.83,0.82,1
36.47,132.25,0.12,0.67,0.18,0
248.3,188.4,0.23,0.11,0.06,0
344.46,125.57,0.83,0.99,0.42,0
369.68,137.7,0.04,0.29,0.59,0
77.24,38.84,0.02,0.21,0.2,0
378.57,115.07,0.44,0.35,0.61,0
49.71,113.0,0.1,0.05,0.34,0
109.56,217.26,0.19,0.69,0.5,0
418.1,123.2,0.39,0.38,0.49,0
225.2,51.68,0.79,0.15,0.44,0
49.11,204.77,0.41,0.72,0.12,0
486.49,141.79,0.58,0.43,0.07,0
228.85,3.6,0.3,0.68,0.03,0
226.56,148.71,0.13,0.6,0.08,0
291.96,63.05,0.09,0.66,0.69,0
297.08,200.15,0.66,0.61,0.22,0
160.59,20.99,0.29,0.58,0.19,0
258.79,17.35,0.52,0.89,0.54,0
295.48,75.64,0.85,0.2,0.3,0
273.67,138.01,0.56,0.64,0.96,1
164.92,146.6,0.44,0.4,0.86,0
281.53,21.49,0.59,0.42,0.46,0
195.16,128.41,0.38,0.62,0.89,0
274.65,199.96,0.65,0.13,0.69,0
317.95,170.46,0.34,0.32,0.74,0
125.49,29.72,0.49,0.94,0.33,0
175.08,67.97,0.52,0.54,0.07,0
460.28,32.09,0.72,0.18,0.48,0
425.46,175.66,0.17,0.07,0.83,0
112.44,230.26,0.08,0.94,0.8,0
385.21,88.34,0.13,0.18,0.77,0
461.98,48.08,0.23,0.43,0.77,0
332.02,77.57,0.48,0.48,0.95,0
142.14,154.63,0.12,0.45,0.55,0
105.05,65.88,0.36,0.28,0.04,0
277.5,101.26,0.72,0.39,0.24,0
384.46,215.74,0.55,0.11,0.2,0
485.5,2.01,0.8,0.93,0.52,0
154.95,2.58,0.83,0.38,0.81,0
262.4,14.88,0.38,0.01,0.55,0
492.37,130.27,0.28,0.05,0.01,0
99.89,115.57,0.22,0.04,0.48,0
138.65,92.04,0.43,0.85,0.97,0
253.68,77.48,0.05,0.53,0.25,0
326.48,198.76,0.92,0.07,0.29,0
257.91,57.04,0.37,0.13,0.38,0
88.93,150.18,0.42,0.06,0.77,0
438.94,239.05,0.67,0.99,0.58,1
146.73,112.44,0.87,0.42,0.8,0
498.42,243.85,0.01,0.92,0.76,0
453.47,68.82,0.38,0.03,0.66,0
271.13,101.24,0.6,0.75,0.42,0
344.67,236.85,0.11,0.05,0.15,0
488.17,147.68,0.66,0.99,0.7,1
214.93,49.6,0.17,0.99,0.71,0
311.38,214.26,0.9,0.08,0.79,0
83.94,92.03,0.76,0.79,0.23,0
357.98,48.27,0.3,0.09,0.79,0
463.6,172.81,0.11,0.02,0.16,0
295.63,96.48,0.96,0.74,0.96,1
158.19,109.05,0.96,0.96,0.94,1
54.83,22.01,0.51,0.28,0.59,0
297.83,54.93,0.99,0.34,0.0,0
48.77,189.38,0.3,0.83,0.79,0
205.25,39.4,0.68,0.76,0.12,0
196.77,157.43,0.07,0.58,0.04,0
430.91,188.01,0.06,0.58,0.42,0
369.65,28.13,0.42,0.24,0.99,0
285.91,47.03,0.73,0.66,0.51,0
495.52,249.6,0.79,0.31,0.48,0
454.72,85.21,0.47,0.81,0.78,0
244.66,143.98,0.3,0.49,0.86,0
340.44,22.9,0.8,0.4,0.83,0
321.09,8.62,0.45,0.61,0.08,0
257.16,83.09,0.16,0.63,0.43,0
97.29,63.51,0.63,0.69,0.29,0
386.69,7.45,0.49,0.29,0.52,0
151.54,47.09,0.71,0.26,0.61,0
155.01,127.09,0.04,0.18,0.96,0
226.52,167.71,0.93,0.92,0.07,0
439.43,26.81,0.13,0.89,0.47,0
368.12,83.92,0.36,0.55,0.84,0
54.45,222.21,0.49,0.19,0.09,0
335.56,76.43,0.63,0.49,0.46,0
103.16,160.99,0.53,0.79,0.21,0
394.08,139.59,0.08,0.57,0.44,0
171.51,218.18,0.15,0.81,0.62,0
479.21,20.54,0.03,0.62,0.75,0
444.21,143.75,0.69,0.65,0.3,0
84.98,64.48,0.38,0.02,0.42,0
127.82,112.1,0.88,0.82,0.01,0
281.21,168.0,0.22,0.34,0.95,0
17.04,98.35,0.77,0.07,0.67,0
230.27,23.21,0.15,0.96,0.71,0
490.56,170.22,0.85,0.22,0.81,0
339.61,161.15,0.96,0.06,0.15,0
48.88,232.88,0.18,0.54,0.59,0
200.09,48.95,0.97,0.32,0.82,0
134.7,50.85,0.21,0.02,0.79,0
260.27,238.64,0.47,0.61,0.71,0
472.52,128.94,0.21,0.48,0.92,0
466.02,66.64,0.09,0.13,0.02,0
297.34,247.95,0.75,0.69,0.87,1
265.07,74.8,0.3,0.26,0.51,0
115.43,136.88,0.66,0.27,0.12,0
322.51,113.21,0.75,0.86,0.71,1
188.67,150.17,0.65,0.04,0.24,0
4.33,196.95,0.48,0.44,0.11,0
295.13,199.04,0.74,0.89,0.53,1
335.06,27.3,0.34,0.79,0.71,0
199.12,130.85,0.2,0.67,0.94,0
476.32,40.7,0.75,0.37,0.6,0
416.54,60.11,0.88,0.78,0.13,0
84.69,184.46,0.69,0.48,0.85,0
84.59,32.53,0.82,0.25,0.92,0
479.72,177.79,0.4,0.3,0.24,0
300.53,34.74,0.2,0.33,0.44,0
468.83,175.97,0.19,0.13,0.2,0
390.23,205.93,0.02,0.72,0.84,0
110.2,224.14,0.33,0.44,0.68,0
77.08,209.14,0.2,0.16,0.2,0
38.53,72.8,0.51,0.16,0.02,0
431.94,63.09,0.16,0.19,0.16,0
110.13,180.72,0.89,0.39,0.64,0
101.36,220.91,0.75,0.44,0.42,0
178.34,155.75,0.18,0.21,0.59,0
494.81,187.35,0.76,0.84,0.48,0
165.03,162.38,0.86,0.85,0.07,0
421.44,80.23,0.46,0.35,0.06,0
24.76,114.36,0.7,0.96,0.02,0
89.56,192.6,0.43,0.08,0.75,0
86.74,35.01,0.91,0.05,0.01,0
459.61,49.03,0.13,0.98,0.39,0
8.39,25.57,0.86,0.76,0.02,0
21.34,38.08,0.01,0.76,0.04,0
182.97,107.31,0.77,0.89,0.22,0
342.99,16.81,0.62,0.36,0.79,0
462.67,183.54,0.09,0.49,0.27,0
119.69,181.23,0.12,0.85,0.85,0
249.5,187.25,0.96,0.71,0.76,1
335.54,154.21,0.98,0.44,0.99,0
290.95,108.41,0.16,0.98,0.78,0
260.18,222.67,0.69,0.5,0.36,0
492.31,196.26,0.1,0.06,0.23,0
191.42,43.52,0.91,0.68,0.02,0
159.44,95.52,0.46,0.03,0.56,0
4.48,229.62,0.65,0.86,0.38,0
104.49,97.92,0.23,0.62,0.32,0
86.15,241.45,0.33,0.4,0.29,0
347.7,248.12,0.58,0.12,0.1,0
464.91,117.45,0.73,0.01,0.78,0
234.92,128.18,0.65,0.14,0.22,0
224.76,218.96,0.85,0.58,0.01,0
355.29,170.16,0.59,0.8,0.6,1
190.54,129.8,0.16,0.71,0.47,0
337.86,104.76,0.88,0.78,0.64,1
64.87,205.66,0.17,0.09,0.61,0
67.77,129.95,0.35,0.33,0.83,0
459.76,214.11,0.18,0.36,0.38,0
37.93,54.73,0.29,0.02,0.35,0
308.08,81.08,0.95,0.63,0.31,0
142.55,185.06,0.67,0.87,0.58,1
198.31,248.21,0.19,0.94,0.29,0
332.93,184.58,0.99,0.35,0.13,0
295.42,165.16,0.88,0.16,0.46,0
458.76,79.06,0.81,0.86,0.28,0
3.74,206.06,0.05,0.77,0.32,0
311.51,39.21,0.71,0.75,0.23,0
11.99,212.7,0.58,0.21,0.43,0
443.71,147.32,0.45,0.39,0.04,0
167.37,10.74,0.25,0.73,0.11,0
89.22,174.71,0.15,0.35,0.88,0
475.53,187.84,0.28,0.85,0.85,0
158.32,36.29,0.22,0.16,0.57,0
252.71,115.55,0.86,0.93,0.2,0
131.13,163.32,0.78,0.1,0.9,0
385.83,183.7,0.78,0.94,0.27,0
37.61,199.81,0.06,0.74,0.4,0
149.1,176.95,0.64,0.06,0.44,0
102.13,184.42,0.47,0.36,0.91,0
115.08,107.2,0.58,0.34,0.47,0
106.6,119.03,0.17,0.71,0.08,0
410.07,213.47,0.79,0.83,0.57,1
381.88,108.8,0.26,0.6,0.73,0
299.15,70.74,0.28,0.38,0.7,0
94.4,71.6,0.99,0.79,0.83,0
223.95,29.89,0.34,0.52,0.77,0
371.79,234.16,0.55,0.96,0.94,1
26.78,234.83,0.42,0.65,0.65,0
22.07,37.37,0.63,0.05,0.3,0
243.22,96.26,0.03,0.38,0.09,0
85.23,63.41,0.29,0.36,0.29,0
443.91,219.09,0.38,0.63,0.51,0
357.33,127.13,0.9,0.06,0.85,0
84.67,5.34,0.51,0.76,0.15,0
73.72,80.6,0.98,0.77,0.82,0
125.36,160.85,0.06,0.95,0.44,0
356.45,22.28,0.48,0.1,0.43,0
120.49,174.52,0.13,0.94,0.06,0
426.63,126.0,0.14,0.25,0.69,0
28.48,45.43,0.27,0.29,0.45,0
369.66,134.96,0.62,0.29,0.85,0
298.94,200.79,0.87,0.65,0.1,0
103.57,143.94,0.32,0.36,0.12,0
149.05,40.56,0.4,0.39,0.1,0
488.39,74.52,0.86,0.25,0.57,0
64.66,75.16,0.51,0.92,0.28,0
440.37,138.84,0.19,0.98,0.2,0
267.07,71.95,0.22,0.95,0.18,0
105.5,30.87,0.07,0.09,0.49,0
233.9,170.54,0.33,0.88,0.62,0
443.42,162.08,0.59,0.42,0.26,0
480.75,225.62,0.74,0.29,0.74,0
216.25,102.27,0.31,0.99,0.54,0
253.17,128.18,0.03,0.93,0.73,0
347.77,246.41,0.11,0.62,0.56,0
497.45,157.34,0.51,0.06,0.13,0
366.81,118.14,0.97,0.05,0.58,0
79.53,203.97,0.84,0.6,0.48,0
267.44,171.09,0.51,0.2,0.44,0
249.23,164.27,0.68,0.91,0.92,1
24.04,64.12,0.33,0.37,0.6,0
26.37,209.31,0.96,0.62,0.85,1
374.67,158.21,0.14,0.52,0.84,0
91.17,248.64,0.02,0.55,0.66,0
486.97,105.4,0.1,0.34,0.64,0
325.83,192.68,0.98,0.14,0.86,0
113.77,28.24,0.24,0.97,0.86,0
239.05,153.03,0.67,0.77,0.96,1
134.11,203.04,0.84,0.92,0.57,1
24.17,2.43,0.36,0.71,0.2,0
197.91,225.93,0.91,0.0,0.68,0
353.85,87.35,0.42,0.27,0.76,0
306.31,92.47,0.96,0.51,0.01,0
314.54,109.16,0.82,0.78,0.1,0
289.56,91.95,0.14,0.44,0.41,0
100.01,56.04,0.67,0.92,0.33,0
220.24,217.23,0.56,0.29,0.21,0
118.26,155.65,0.2,0.35,0.07,0
291.3,222.22,0.18,0.11,0.03,0
254.97,162.64,0.61,0.09,0.32,0
75.02,62.29,0.29,0.84,0.48,0
357.76,227.28,0.78,0.41,0.38,0
437.33,62.18,0.52,1.0,0.09,0
310.7,15.25,0.22,0.99,0.3,0
481.52,64.96,0.98,0.94,0.94,0
325.47,168.23,0.53,0.48,0.64,0
390.76,209.36,0.25,0.93,0.2,0
345.62,197.96,0.62,0.06,0.97,0
461.11,105.33,0.71,0.8,0.45,0
145.55,200.95,0.67,0.68,0.37,0
88.88,155.74,0.22,0.48,0.59,0
135.55,103.04,0.04,0.76,0.07,0
356.88,69.58,0.63,0.64,0.65,0
309.18,243.43,0.68,0.03,0.56,0
421.36,99.57,0.98,0.27,0.43,0
485.65,210.13,0.19,0.49,0.06,0
484.9,174.15,0.89,0.74,0.55,1
98.42,39.14,0.11,0.69,0.04,0
423.44,60.04,0.97,0.12,0.81,0
134.61,52.28,0.87,0.48,0.59,0
473.16,97.82,0.24,0.14,0.02,0
73.6,241.53,0.49,0.78,0.46,0
311.63,155.65,0.85,1.0,0.57,1
451.09,225.43,0.52,0.91,0.5,1
158.9,242.53,0.11,0.85,0.89,0
209.16,91.31,0.52,0.15,0.86,0
282.52,52.92,0.01,0.82,0.08,0
243.95,188.42,0.87,0.52,0.89,1
328.2,91.5,0.2,0.82,0.09,0
401.73,107.71,0.29,0.21,0.38,0
66.98,201.11,0.11,0.67,0.13,0
244.25,208.79,0.94,0.1,0.75,0
313.69,128.84,0.94,0.68,0.01,0
80.22,248.87,0.46,0.57,0.98,0
2.42,197.18,0.44,0.3,0.1,0
385.56,58.28,0.85,0.01,0.06,0
437.9,77.74,0.13,0.26,0.47,0
497.78,139.03,0.66,0.67,0.52,1
269.96,154.04,0.79,0.72,0.9,1
299.94,101.14,0.57,0.11,0.94,0
369.12,123.74,0.4,0.95,0.35,0
103.93,137.28,0.22,0.68,0.66,0
38.44,202.34,0.34,0.97,0.05,0
288.68,66.81,0.91,0.69,0.07,0
219.72,163.84,0.99,0.4,0.37,0
230.15,249.94,0.24,0.43,0.65,0
259.42,131.79,0.59,0.11,0.26,0
185.66,217.62,0.33,0.71,0.72,0
431.77,189.25,0.99,0.49,0.79,0
301.3,24.68,0.79,0.22,0.34,0
446.55,95.36,0.75,0.93,0.97,1
307.54,212.62,0.75,0.77,0.27,0
204.59,12.39,0.7,0.86,0.09,0
470.7,48.73,0.64,0.31,0.31,0
73.71,206.36,0.01,0.58,0.23,0
136.04,119.1,0.57,0.84,0.06,0
394.71,58.15,0.46,0.25,0.82,0
411.49,167.63,0.99,0.32,0.7,0
326.09,144.27,0.45,0.24,0.71,0
106.01,73.98,0.83,0.77,0.96,0
68.32,200.21,0.05,0.09,0.87,0
151.55,22.04,0.87,0.89,0.67,0
312.54,239.28,0.34,0.21,0.31,0
114.09,209.97,0.89,0.55,0.38,0
187.38,49.62,0.97,0.66,0.54,0
196.47,161.29,0.85,0.36,0.95,0
