distance,relative_speed,permission,road,visibility,target
45.87,23.82,0.18,0.17,0.99,0
7.56,2.91,0.54,0.58,0.4,0
13.97,20.13,0.43,0.99,0.23,0
30.16,37.4,0.32,0.11,0.79,0
32.71,45.51,0.65,0.98,0.08,0
13.54,3.25,0.53,0.21,0.94,0
34.07,3.12,0.26,0.58,0.87,0
23.01,51.24,0.85,0.01,0.48,0
18.34,52.58,0.51,0.75,0.79,1
28.39,41.22,0.6,0.71,0.13,0
38.11,42.01,0.93,0.83,0.07,0
16.29,41.67,0.15,0.4,0.59,0
28.32,41.78,0.25,0.95,0.08,0
8.0,18.99,0.3,0.04,0.52,0
42.85,44.74,0.04,0.37,0.32,0
34.54,52.45,0.04,0.71,0.33,0
33.77,13.53,0.35,0.1,0.46,0
11.72,49.0,0.86,0.5,0.66,1
17.97,3.79,0.1,0.92,0.91,0
21.12,33.25,0.4,0.56,0.8,0
34.05,37.35,0.02,0.96,0.46,0
9.59,41.16,0.74,0.19,0.02,0
9.51,40.75,0.22,0.13,0.51,0
40.34,44.24,0.19,0.55,0.64,0
1.05,31.78,0.85,0.44,0.73,0
49.23,2.98,0.94,0.84,0.22,0
27.25,41.27,0.86,1.0,0.41,0
35.81,19.17,0.99,0.22,0.34,0
20.06,31.5,0.52,0.5,0.44,0
38.01,25.99,0.38,0.25,0.67,0
1.78,10.19,0.41,0.37,0.63,0
8.57,55.3,0.01,0.35,0.04,0
4.5,25.37,0.94,0.18,0.57,0
30.91,8.11,0.49,0.76,0.99,0
8.38,15.83,0.81,0.73,0.82,0
10.78,48.04,0.4,0.81,0.91,0
22.92,42.62,0.4,0.7,0.5,0
32.22,31.74,0.28,0.65,0.7,0
49.47,41.8,0.95,0.65,0.23,0
10.98,17.01,0.17,0.13,0.94,0
42.08,19.76,0.44,0.96,0.98,0
9.66,20.33,0.26,0.63,0.52,0
30.58,16.31,0.7,0.36,0.89,0
12.61,22.92,0.79,0.5,0.42,0
10.76,17.03,0.39,0.97,0.55,0
35.9,12.47,0.99,0.68,0.24,0
21.37,19.59,0.26,0.25,0.28,0
16.51,43.49,0.54,0.51,0.74,1
48.02,49.12,0.17,0.61,0.92,0
39.98,3.63,0.27,0.03,0.21,0
3.22,48.65,0.26,0.54,0.3,0
17.3,19.32,0.65,0.81,0.78,0
5.72,29.21,0.57,0.5,0.18,0
3.75,8.43,0.11,0.55,0.67,0
49.99,49.56,0.8,0.89,0.07,0
17.03,23.07,0.97,0.48,0.4,0
36.29,38.8,0.98,0.64,0.03,0
10.44,18.0,0.24,0.31,0.97,0
26.46,37.44,0.12,0.2,0.42,0
49.46,12.84,0.11,0.95,0.63,0
12.04,18.88,0.82,0.49,0.54,0
26.28,46.38,0.72,0.26,0.93,0
2.55,28.29,0.11,0.91,0.55,0
17.66,44.57,0.23,0.5,0.19,0
3.0,51.8,0.78,0.74,0.1,0
21.44,25.19,0.4,0.33,0.76,0
30.85,4.33,0.31,0.45,0.46,0
28.6,4.97,0.52,0.14,0.29,0
14.51,42.98,0.54,0.83,0.54,1
16.41,35.56,0.77,0.77,0.83,1
30.1,6.53,0.24,0.4,0.37,0
23.08,22.3,0.31,0.16,0.11,0
28.0,55.62,0.44,0.55,0.84,0
21.27,10.9,0.27,0.6,0.58,0
46.89,52.09,0.93,0.67,0.84,1
2.5,41.64,0.99,0.22,0.12,0
30.76,31.62,0.95,0.98,1.0,0
42.27,23.21,0.87,0.1,0.11,0
8.39,13.7,0.5,0.89,0.66,0
2.55,13.77,0.24,0.17,0.99,0
36.71,53.84,0.36,0.09,0.33,0
13.73,31.25,0.47,0.52,0.8,0
4.23,44.9,0.43,0.36,0.13,0
20.65,30.8,0.03,0.45,0.13,0
40.89,2.6,0.13,0.04,0.66,0
21.71,50.92,0.51,0.65,0.78,0
25.91,36.7,0.6,0.19,0.2,0
14.8,10.92,0.07,0.64,0.33,0
27.49,25.56,0.21,0.54,0.35,0
39.39,11.27,0.02,0.1,0.6,0
6.49,52.89,0.5,0.85,1.0,1
3.36,32.34,0.81,0.54,0.56,1
36.12,52.31,0.51,0.27,0.17,0
11.13,5.43,0.75,0.42,0.8,0
12.59,48.39,0.85,0.75,0.25,0
33.01,48.05,0.7,0.08,0.54,0
22.23,52.89,0.4,0.55,0.44,0
30.78,34.13,0.55,0.68,0.11,0
34.25,46.34,0.41,0.59,0.25,0
17.96,27.9,0.64,0.55,0.78,0
47.55,55.09,0.71,0.46,0.23,0
24.59,48.75,0.19,0.89,0.21,0
30.05,32.88,0.82,0.97,0.66,0
27.13,55.38,0.31,0.05,0.49,0
10.66,27.12,0.82,0.85,0.82,0
23.84,37.71,0.82,0.12,0.56,0
30.19,32.01,0.78,0.83,0.13,0
32.94,29.01,0.97,0.51,0.64,0
9.61,28.47,0.59,0.8,0.61,0
26.03,4.54,0.61,0.09,0.34,0
39.68,22.7,0.01,0.8,0.35,0
35.04,5.65,0.87,0.64,0.37,0
11.22,36.02,0.48,0.25,0.12,0
38.42,37.07,0.68,0.76,0.78,0
20.18,37.03,0.99,0.19,0.37,0
10.78,55.07,0.99,0.49,0.72,0
9.62,21.41,0.81,0.68,0.5,0
21.04,22.33,0.82,0.84,0.05,0
33.14,40.61,0.14,0.61,0.43,0
45.75,38.03,0.21,0.55,0.43,0
47.12,44.3,0.96,0.94,0.87,1
47.6,47.68,0.06,0.34,0.68,0
49.49,5.78,0.91,0.87,0.35,0
39.54,50.93,0.26,0.36,0.65,0
29.98,42.96,0.21,0.89,0.43,0
40.39,54.28,0.65,0.5,0.98,1
1.31,37.44,0.67,0.49,0.99,0
11.31,27.41,0.42,0.03,0.27,0
7.43,40.28,0.34,0.52,0.86,0
26.59,15.86,0.74,0.8,0.62,1
35.8,5.09,0.07,0.73,0.19,0
7.17,47.54,0.83,0.09,0.3,0
17.37,36.88,0.64,0.28,0.07,0
13.1,5.97,0.36,0.51,0.98,0
13.43,10.4,0.23,0.74,0.93,0
4.66,9.57,0.62,0.43,0.3,0
30.79,5.46,0.36,0.83,0.79,0
34.93,42.77,0.53,0.94,0.13,0
42.82,31.99,0.94,0.74,0.88,0
5.01,48.47,0.04,0.38,0.9,0
49.71,43.5,0.02,0.63,0.98,0
34.46,17.2,0.68,0.25,0.33,0
19.07,11.79,0.59,0.6,0.61,0
25.85,21.58,0.77,0.99,0.66,1
29.03,41.35,0.39,0.43,0.68,0
5.76,54.09,0.43,0.67,0.98,0
34.07,12.35,0.19,0.28,0.86,0
37.53,10.74,0.69,0.35,0.09,0
23.14,36.71,0.47,0.15,0.89,0
39.54,23.53,0.81,0.92,0.72,0
2.32,36.94,0.87,0.08,0.67,0
1.79,48.76,0.47,0.97,0.15,0
28.38,35.29,0.3,0.31,0.13,0
1.63,12.26,0.11,0.26,0.38,0
26.79,11.72,0.66,0.86,0.27,0
32.13,45.46,0.17,0.54,0.16,0
12.02,44.49,0.03,0.51,0.92,0
6.87,33.34,0.15,0.88,0.29,0
21.73,46.58,0.44,0.33,0.65,0
46.57,29.13,0.46,0.86,0.48,0
47.3,10.55,0.09,0.68,0.13,0
12.04,21.92,0.77,0.27,0.75,0
40.2,14.17,0.03,0.67,0.65,0
37.64,33.54,0.52,0.0,0.06,0
18.1,37.8,0.28,0.1,0.13,0
27.83,26.44,0.34,0.16,0.57,0
36.42,53.0,0.82,0.83,0.03,0
46.67,13.13,0.62,0.31,0.04,0
44.54,20.73,0.77,0.79,0.68,0
35.13,46.68,0.61,0.83,0.7,1
21.35,46.76,0.7,0.93,0.67,0
46.65,14.99,0.73,0.43,0.33,0
49.33,39.98,0.71,0.52,0.17,0
17.0,22.99,0.01,0.24,0.58,0
14.67,43.34,0.49,0.93,0.57,0
13.24,36.75,0.26,0.42,0.75,0
17.98,13.94,0.4,0.58,0.17,0
38.36,46.27,0.39,0.63,0.86,0
30.14,14.54,0.16,0.43,0.36,0
46.94,42.85,0.01,0.04,0.82,0
45.05,9.92,0.87,0.1,0.57,0
28.77,48.97,0.89,0.05,0.9,0
5.42,31.36,0.47,0.8,0.24,0
27.73,27.09,0.99,0.73,0.91,1
9.04,49.54,0.52,0.68,0.28,0
19.34,50.0,0.95,0.64,0.58,1
28.83,42.69,0.18,0.96,0.65,0
3.11,28.65,0.98,0.85,0.42,0
29.78,26.74,0.26,0.09,0.56,0
19.0,25.51,0.1,0.13,0.45,0
9.7,11.6,0.07,0.18,0.51,0
22.15,51.49,0.26,0.92,0.71,0
10.41,24.66,0.47,0.45,0.07,0
1.31,28.22,0.78,0.82,0.64,0
11.29,41.08,0.09,0.01,0.05,0
21.35,19.33,0.7,0.59,0.36,0
7.76,10.96,0.12,0.83,0.09,0
42.05,6.52,0.12,0.63,0.48,0
6.76,27.1,0.64,0.8,0.02,0
36.76,38.79,0.78,0.61,0.47,0
43.91,28.18,0.18,0.7,0.91,0
42.35,52.61,0.44,0.89,0.38,0
4.29,2.85,0.61,0.76,0.95,0
36.64,33.36,0.53,0.22,0.82,0
47.9,25.83,0.4,0.34,0.82,0
18.86,50.08,0.03,0.8,0.4,0
46.05,48.12,0.03,0.82,0.9,0
46.75,53.88,0.44,0.6,0.38,0
14.01,31.83,0.38,0.43,0.12,0
29.46,26.58,0.61,0.35,0.35,0
33.36,16.2,0.42,0.11,0.38,0
8.91,19.97,1.0,0.04,0.02,0
30.17,34.19,0.79,0.17,0.03,0
5.91,40.08,0.92,0.43,0.53,0
46.88,24.54,0.64,0.58,0.3,0
4.34,18.74,0.16,0.44,0.36,0
45.45,36.93,0.21,0.4,0.82,0
16.92,49.49,0.34,0.84,0.25,0
24.4,45.93,0.21,0.72,0.93,0
31.1,2.71,0.48,0.04,0.31,0
6.8,14.81,0.18,0.4,0.74,0
38.39,24.22,0.85,0.16,0.66,0
3.65,54.42,0.35,0.98,0.74,0
4.98,28.54,0.59,0.66,0.85,0
34.41,53.3,0.58,0.9,0.33,0
1.3,52.09,0.71,0.99,0.11,0
22.51,24.0,0.95,0.7,0.24,0
26.37,25.82,0.95,0.95,0.31,0
39.52,28.11,0.99,0.25,0.38,0
6.43,11.89,0.86,0.79,0.52,0
18.35,21.09,0.97,0.88,0.57,0
3.8,54.8,0.61,0.43,0.73,0
10.29,52.43,0.46,0.16,0.87,0
2.78,18.98,0.05,0.1,0.79,0
16.13,10.39,0.26,0.39,0.13,0
4.97,14.94,0.7,0.15,0.68,0
21.46,52.49,0.31,0.79,0.13,0
48.35,48.68,0.79,0.99,0.42,0
28.84,8.07,0.34,0.8,0.63,0
19.71,41.64,0.46,0.6,0.58,0
12.63,11.21,0.02,0.61,0.16,0
3.76,15.97,0.49,0.69,0.38,0
16.98,9.18,0.79,0.29,0.96,0
43.59,51.85,0.46,0.61,0.61,0
43.39,42.34,0.24,0.47,0.08,0
23.15,51.92,0.06,0.63,0.26,0
24.84,38.91,0.09,0.34,0.67,0
21.63,35.16,0.55,0.71,0.2,0
14.91,7.23,0.78,0.83,0.38,0
28.7,34.41,0.13,0.79,0.22,0
4.85,26.2,0.48,0.73,0.15,0
33.03,6.24,0.79,0.66,0.19,0
47.38,39.95,0.33,0.34,0.32,0
9.88,40.98,0.2,0.97,0.02,0
19.5,46.09,0.47,0.74,0.57,0
16.0,4.3,0.66,0.87,0.35,0
49.11,15.37,0.72,0.21,0.52,0
39.94,13.67,0.64,0.76,0.78,0
46.84,16.03,0.19,1.0,0.93,0
5.47,48.41,0.47,0.22,0.26,0
49.31,20.78,0.45,0.21,0.76,0
5.68,31.12,0.62,0.04,0.69,0
22.87,43.8,0.15,0.68,0.5,0
6.21,15.62,0.56,0.49,0.06,0
24.6,53.5,0.94,0.15,0.84,0
18.2,39.1,0.16,0.42,0.19,0
5.33,38.92,0.66,0.83,0.06,0
1.77,36.55,0.13,0.03,0.84,0
27.81,39.84,0.24,0.06,0.08,0
37.69,20.93,0.52,0.72,0.91,0
48.77,28.99,0.6,0.86,0.12,0
46.56,25.63,0.52,0.11,0.02,0
42.19,29.03,0.97,0.96,0.17,0
13.47,15.65,0.56,0.06,0.66,0
22.47,5.02,0.65,0.59,0.1,0
46.24,51.96,0.67,0.39,0.72,0
43.79,4.23,0.96,0.94,0.17,0
41.07,42.44,0.1,0.45,0.03,0
3.84,4.76,0.69,0.32,0.41,0
38.86,14.34,0.26,0.81,0.0,0
25.97,54.75,0.02,0.36,0.74,0
6.43,15.86,0.06,0.21,0.92,0
35.23,22.11,0.74,0.73,0.26,0
34.47,24.55,0.15,0.65,0.34,0
16.5,18.66,0.27,0.57,0.2,0
12.91,15.05,0.24,0.65,0.47,0
36.96,48.69,0.75,0.7,0.15,0
9.33,27.71,0.61,0.22,0.05,0
28.38,38.72,0.37,0.73,0.51,0
5.6,18.28,0.29,0.71,0.26,0
15.99,14.27,0.86,0.14,0.96,0
29.31,53.9,0.97,0.88,0.59,0
22.62,4.94,0.29,0.31,0.67,0
30.42,39.71,0.23,0.37,0.02,0
9.95,8.46,0.83,0.41,0.05,0
46.31,14.48,0.02,0.25,0.39,0
44.79,30.2,0.17,0.51,0.83,0
24.66,27.55,0.46,0.82,0.33,0
30.1,36.46,0.31,0.13,0.83,0
6.94,3.11,0.31,0.37,0.61,0
39.11,43.04,0.66,0.11,0.83,0
28.22,38.66,0.63,0.36,0.13,0
11.81,50.35,0.85,0.59,0.52,1
25.16,15.57,0.77,0.31,0.54,0
29.45,5.55,0.85,0.05,0.65,0
5.88,27.01,0.22,0.62,0.62,0
16.43,21.6,0.37,0.4,0.29,0
37.25,2.41,0.45,0.84,0.34,0
2.25,36.22,0.62,0.73,0.44,0
30.69,20.82,0.15,0.73,0.04,0
39.2,46.73,0.86,0.78,0.76,1
6.5,24.67,0.14,0.56,0.3,0
19.97,52.81,0.13,0.19,0.31,0
1.42,22.13,0.81,0.73,0.04,0
2.55,26.28,0.74,0.71,0.12,0
35.38,6.23,0.18,0.97,0.75,0
30.87,54.68,0.24,0.02,0.4,0
18.5,32.19,0.19,0.67,0.09,0
34.1,20.64,0.28,0.63,0.56,0
11.53,34.78,0.82,0.22,0.87,0
25.5,12.09,0.76,0.36,0.03,0
43.91,1.68,0.13,0.25,0.99,0
5.88,5.73,0.08,0.62,0.46,0
25.5,40.92,0.26,0.23,0.18,0
6.94,46.2,0.53,0.97,0.48,0
12.67,11.69,0.44,0.38,0.89,0
34.34,54.09,0.56,0.87,0.23,0
33.88,51.21,0.94,0.04,0.75,0
14.19,10.52,0.21,0.36,0.71,0
4.22,2.38,0.64,0.52,0.64,0
29.23,36.02,0.22,0.04,0.65,0
23.26,18.38,0.74,0.31,0.22,0
28.37,19.75,0.03,0.89,0.18,0
10.24,20.44,0.34,0.79,0.93,0
44.42,36.56,0.88,0.66,0.55,0
42.17,26.59,0.43,0.26,0.47,0
1.62,18.8,0.5,0.71,0.16,0
16.09,12.4,0.31,0.46,0.31,0
48.07,7.08,0.04,0.43,0.48,0
20.33,21.73,0.38,0.14,0.88,0
25.56,30.48,0.4,0.99,0.5,0
43.15,42.2,0.96,0.0,0.67,0
13.66,32.76,0.48,0.9,0.49,0
24.18,2.71,0.91,0.48,0.75,0
4.39,51.34,0.55,0.07,0.2,0
20.66,53.43,0.63,0.89,0.76,0
39.14,11.41,0.22,0.44,0.01,0
47.58,20.72,0.66,0.93,0.67,0
4.24,20.43,0.99,0.65,0.26,0
17.97,27.41,0.66,0.13,0.64,0
4.28,25.51,0.12,0.65,0.83,0
9.52,3.31,0.37,0.3,0.1,0
29.73,8.0,0.4,0.39,0.43,0
1.49,50.36,0.31,0.07,0.94,0
47.2,34.06,0.07,0.89,0.18,0
33.51,10.58,0.19,0.33,1.0,0
28.93,42.96,0.65,0.52,0.3,0
41.17,55.64,0.31,0.02,0.73,0
15.67,40.71,0.35,0.08,0.84,0
44.55,55.45,0.49,0.15,0.33,0
16.15,28.47,0.79,0.52,0.89,0
39.14,30.12,0.7,0.8,0.87,0
43.71,10.18,0.85,0.44,0.33,0
9.55,18.29,0.73,0.31,0.94,0
26.92,47.03,0.88,0.55,0.4,0
44.09,49.23,0.09,0.61,0.4,0
19.08,24.17,0.52,0.88,0.48,0
3.5,53.93,0.29,0.7,0.28,0
40.24,15.45,0.56,0.04,0.11,0
14.95,7.3,0.14,0.85,0.27,0
10.49,33.14,0.6,0.69,0.18,0
41.19,54.86,0.05,0.49,0.95,0
8.86,11.79,0.22,0.02,0.79,0
8.12,27.58,0.08,0.6,0.32,0
6.51,33.09,0.95,0.72,0.47,0
7.42,52.91,0.78,0.43,0.03,0
38.25,14.91,0.35,1.0,0.75,0
40.6,36.03,0.84,0.51,0.37,0
44.61,51.92,0.45,0.17,0.05,0
17.41,3.14,0.09,0.86,0.56,0
4.17,54.88,0.84,0.49,0.61,0
17.84,15.27,0.96,0.37,0.01,0
20.39,22.49,0.79,0.05,0.34,0
2.15,34.57,0.95,0.48,0.85,0
47.64,15.22,0.08,0.58,0.32,0
37.69,19.22,0.69,0.82,0.78,0
39.9,54.05,0.74,0.9,0.4,0
33.88,42.09,0.86,0.78,0.39,0
20.49,49.24,0.36,0.13,0.57,0
41.69,22.42,0.39,0.61,0.27,0
32.47,55.71,0.85,0.37,0.62,0
47.07,19.42,0.77,0.94,0.69,0
33.56,44.39,0.44,0.16,0.09,0
19.11,5.38,0.86,0.6,0.81,0
46.55,22.6,0.86,0.45,0.7,0
42.72,1.16,0.73,0.58,0.43,0
1.92,23.87,0.24,0.17,0.74,0
34.96,36.13,0.07,0.53,0.66,0
31.29,54.22,0.01,0.32,0.04,0
31.21,54.51,0.41,0.55,0.67,0
37.57,27.91,0.17,0.26,0.91,0
22.15,10.42,0.13,0.14,0.67,0
43.75,19.41,0.18,0.56,0.65,0
21.9,4.65,0.37,0.24,0.75,0
21.03,24.05,0.97,0.63,0.42,0
39.92,26.62,0.74,0.78,0.51,0
24.16,18.62,0.62,0.37,0.13,0
1.58,37.75,0.8,0.96,0.58,1
15.02,5.92,0.37,0.79,0.02,0
29.58,54.24,0.26,0.74,0.63,0
37.23,5.93,0.85,0.4,0.07,0
1.27,22.85,0.47,0.91,0.87,0
15.67,44.43,0.74,0.79,0.89,1
2.16,26.44,0.16,0.34,0.41,0
11.96,22.99,0.34,0.76,0.72,0
12.52,5.0,0.18,0.6,0.24,0
49.35,36.48,0.72,0.09,0.47,0
34.65,18.64,0.88,0.26,0.76,0
14.01,39.97,0.95,0.89,0.54,1
43.8,16.47,0.1,0.51,0.67,0
5.1,45.8,0.29,0.47,0.48,0
16.9,55.68,0.68,0.86,0.76,1
33.65,49.56,0.33,0.47,0.28,0
27.37,30.75,0.8,0.88,0.21,0
5.96,14.19,0.75,0.74,0.79,0
12.78,10.73,0.66,0.66,0.37,0
21.84,12.7,0.04,0.87,0.38,0
20.81,13.12,0.53,0.36,0.97,0
40.63,8.52,0.56,0.32,0.45,0
4.43,17.06,0.61,0.88,0.09,0
19.35,19.36,0.97,0.84,0.56,0
18.51,34.49,0.0,0.53,0.03,0
12.92,10.82,0.56,0.94,0.82,0
38.0,16.12,0.47,0.75,0.91,0
5.39,14.45,0.76,0.6,0.31,0
4.13,21.29,0.36,0.0,0.38,0
2.64,34.95,0.45,0.06,0.24,0
6.9,48.38,0.99,0.61,0.53,1
9.67,15.92,0.18,0.13,0.47,0
1.16,53.76,0.99,0.73,0.22,0
20.37,55.07,0.89,0.99,1.0,0
44.07,17.49,0.35,0.11,0.7,0
26.36,26.34,0.83,0.47,0.89,0
32.86,7.59,0.27,0.97,0.9,0
19.46,35.81,0.15,0.83,0.11,0
44.1,25.94,0.65,0.38,0.64,0
6.94,30.67,0.48,0.5,0.65,0
42.49,25.61,0.82,0.44,0.05,0
14.36,15.86,0.26,0.21,0.54,0
13.82,49.14,0.18,0.2,0.66,0
3.84,36.22,0.5,0.27,0.24,0
16.44,35.15,0.99,0.04,0.33,0
8.02,31.83,0.53,0.45,0.58,0
8.87,32.01,0.96,0.74,0.56,1
1.37,31.01,0.06,0.97,0.39,0
7.77,21.45,0.1,0.23,0.73,0
48.04,8.75,0.44,0.69,0.31,0
28.8,38.91,0.65,0.11,0.47,0
20.34,4.48,0.66,0.72,0.22,0
36.94,5.19,0.02,0.07,0.96,0
41.67,45.77,0.27,0.1,0.82,0
10.21,38.38,0.56,0.74,0.55,1
34.44,20.85,0.68,0.56,0.78,0
36.21,40.77,0.81,0.95,0.9,1
10.65,53.98,0.67,0.39,0.81,0
28.75,49.33,0.34,0.04,0.61,0
46.98,22.88,0.16,0.39,0.54,0
10.97,29.65,0.8,0.62,0.49,0
25.44,3.91,0.37,0.59,0.14,0
12.35,54.66,0.34,0.2,0.52,0
46.56,6.28,0.56,0.52,0.19,0
19.58,14.31,0.58,0.77,0.08,0
39.83,45.13,0.2,0.52,0.98,0
36.06,29.6,0.44,0.05,0.98,0
49.42,48.99,0.6,0.67,0.18,0
38.17,53.31,0.22,0.88,0.61,0
17.36,24.91,0.17,0.74,0.42,0
33.82,40.99,0.52,0.38,0.51,0
10.27,17.97,0.41,0.34,0.03,0
45.25,40.87,0.48,0.35,0.33,0
25.66,52.0,0.35,0.98,0.53,0
